coastal acidification sea grant,"""sea grant"" AND ""acidification"""
No 'easy fix' for manatee deaths,
Dispatches,
"Written Statement of Kathryn Sullivan, Ph.D. Acting Under Secretary of Commerce for Oceans and Atmosphere and Acting NOAA Administrator on the National Oceanic and Atmospheric Administration's FY 2014 Budget Request",
H APPROPS HEARING ON THE DEPARTMENT OF COMMERCE F.Y. 2018 BUDGET,
Climate change affects fish and reefs,
"Hey drivers, follow laws, keep us all safe",
HURRICANES OF DATA,
Nature Conservancy Issues Public Comment on NOAA Notice,
"House Appropriations Committee Issues Report on Commerce, Justice, Science, Related Agencies Appropriations Bill 2019 (Part 6 of 6)",
Pingree Votes for Bill to Keep Government Operating,
University of Maine Research Institutions Receive More Than $660k to Study the American Lobster,
Del. Bordallo Addresses U.S. Coral Reef Task Force,
Norway: The Minister of Foreign Affairs' Opening of the Our Ocean Conference 2019,
"H APPROPS HEARING ON AMERICAN INDIAN AND ALASKA NATIVE FUNDING, AFTERNOON SESSION",
Alaskan seafood has opening in home meal replacement kits,
Walker orders mariculture task force,
REP. JOHN CULBERSON,
REP. RALPH M. HALL HOLDS A HEARING ON THE NOAA AND EPA BUDGETS,
Geology Highlights: New Science Posted Online 8 March 2011,
Cooperative Agreements Make $2 Million Available for American Lobster Research,
REP. DOC HASTINGS HOLDS A HEARING ON OCEAN COASTAL AND INLAND ACTIVITIES RESTRICTIONS,
"H APPROPS HEARING ON AMERICAN INDIAN AND ALASKA NATIVE FUNDING, AFTERNOON SESSION",
Alaska Mariculture Task Force Issues Final Report Report to Gov. Dunleavy,
Seventy Percent of Climate Pact Signatories Include Oceans in Their Climate Change Action Plans,
"Cooperative Agreement Makes $36.8 Million Available for Cooperative Institute to Support NOAA Marine Research, Ecosystem Management",
Issuance of an Incidental Harassment Authorization Notice Posted in Federal Register,
Commentary: Metro D.C. prepares for climate change (Posted 2013-07-15 00:38:37),
National Oceanic and Atmospheric Administration Issues Testimony on FY17 Budget Request,
NOAA Fisheries Alaska Issues Report Entitled 'Aquaculture Accomplishments',
EPA cuts could have major impact on Maine cleanup efforts,
Guam should prepare for N Korea strike: Senator,
Trump administration's plans would harm ; South Florida waters,
"Climate Vulnerable Nations Go Carbon Neutral, Plead for Help",
Congressional Research Service: 'Science & Technology Issues for 118th Congress' (Part 5 of 5),
"Tongan democracy needs more time to flourish, King tells parliament",
REP. JOHN CULBERSON,
Sen. Cantwell on Track to Secure Historic Investment in Salmon Recovery,
"Environment America Research & Policy Center, 2 Collaborators Issue Public Comment to Interior Dept.",
NOAA: Ensuring A Future For Seafood In A Changing Ocean - Part 2,
"Executive on President Trump's Proposed Budget: An Assault on the Environment, Economy and Mobility of King County",
On a quest to restore coral University of Miami hoping to rebuild state's decimated reefs,
Construction Starts on Research Ship to Be Operated by Oregon State University,
Deeper EPA cuts pose a particular menace to Maine,
Chair Grijalva Introduces Ocean-Based Climate Solutions Act,
Taking Marine Mammals Incidental to Rocky Intertidal Monitoring Surveys Along the Oregon and California Coasts Notice Posted in Federal Register,
House Select Committee on Climate Crisis Issues Testimony From National Wildlife Federation President O'Mara (Part 2 of 2),
SEN. DANIEL K. AKAKA HOLDS A HEARING ON TRIBAL IMPACTS OF ENVIRONMENTAL CHANGES,
Campus round-up,
Sen. Murkowski: Funding Package Passes Senate,
RISE EVIDENT IF YOU KNOW WHERE TO LOOK,
NOAA Administrator Jane Lubchenco stepping down in February (Posted 2012-12-12 17:15:58),
Help is needed to build more storm-resistant infrastructure | Commentary,
State's climate change efforts fall short,
House-Passed Build Back Better Bill Includes Key Sen. Cantwell Priorities,
"Stop oil and gas exploration madness, SA scientists urge government",
"ProfNet Experts Available on Paris Agreement, Hurricane Preparedness, More",
NOAA Administrator Jane Lubchenco stepping down in February (Posted 2012-12-13 19:27:24),
Researchers study ocean canyons in marine sanctuary,
Norway: The Minister of Foreign Affairs' Opening of the Our Ocean Conference 2019,
REP. ROB BISHOP HOLDS A HEARING ON FEDERAL AGENCIES' SELECTIVE ENFORCEMENT OF ESA CONSULTATION,
"Gear, Not Geoducks, Impacts Ecosystem If Farming Increases",
The Johnny Appleseed of Sugar Kelp,
Senate Votes to Establish Oceans Endowment,
Obama Administration Releases Action Plan to Address Ocean Challenges,
House Appropriations Subcommittee Issues Joint Testimony From NOAA,
To the rescue,
SEN. MARK BEGICH HOLDS A HEARING ON COAST GUARD/NOAA BUDGETS,
House Appropriations Subcommittee Issues Testimony From Shoalwater Bay Indian Tribe Chairwoman Nelson,
Marine Technology and Life Sciences Seawater Complex Breaks Ground,
Senate Energy Committee Issues Report on Reinvesting in Shoreline Economies & Ecosystems Act,
University of Miami Officially Opens New Research Facility on Virginia Key Campus,
"India, France adopt roadmap for partnership in Blue Economy and Ocean Governance",
"ProfNet Experts Available on Paris Agreement, Hurricane Preparedness, More",
'State of the Coast' Conference Set for Oct. 27 in Coos Bay,
REP. JOHN FLEMING HOLDS A HEARING ON NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION BUDGET,
House Select Committee on Climate Crisis Issues Report Entitled 'Solving Climate Crisis 2022 - Key Accomplishments and Additional Opportunities-Majority Staff Report' (Part 11 of 13),
"NMMA, Congressional Champions Go to Bat for Industry Priorities in Environmental and Infrastructure Bill",
Alaska's Uncertain Food Future,
Takes of Marine Mammals Incidental to Specified Activities Notice Posted in Federal Register,
SEN. SHELDON WHITEHOUSE HOLDS A HEARING ON CLIMATE CHANGE,
Help is needed to build more storm-resistant infrastructure Guest columnist,
House Natural Resources Committee Issues Testimony From Marshall Islands Ambassador Zackios,
Sen. Blumenthal Demands Measures to Ensure Connecticut Fisherman Get a Fair Shake,
United States: Power Dynamics Innovations LLC to Supply Centerboard System for New Regional-Class Research Vessel,
International Recognition of University of Plymouth Research,
REP. JIM BRIDENSTINE HOLDS A HEARING ON THE BUDGET PROPOSAL FOR THE NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION FOR F.Y. 2017,
"Northern, Southern Leaders Petition to Protect the Arctic from Climate Change",
"The effects on species that thrive in cold waters provide glimpses of the damage that rising ocean temperatures can do, but the federal and state response remains weak.",
Mike Spranger: It's an ocean world,
Fisheries picks and pans for 2019,
Picks and pans for Alaskaâ€™s seafood industry in 2019,
EPA cuts seen as peril to Maine,
"Rep. Carbajal, Commerce Announce Chumash Heritage National Marine Sanctuary Moves to Designation Phase",
Climate change will affect fish stocks around the African continent,
Ocean generates 10.7 percent of state GDP,
Weather records back Cicilline climate claim,
University of Miami's quest to restore coral,
Life aquatic with OSU needs new research ship,
Congressional Research Service: 'Science and Technology Issues for 118th Congress' (Part 5 of 5),
Power Dynamics Innovations LLC to Supply Centerboard System for New Regional-Class Research Vessel,
REP. JOHN FLEMING HOLDS A HEARING ON PENDING BUSINESS,
"REP. FRANK R. WOLF, R-VA., HOLDS A HEARING ON NOAA BUDGET",
REP. JOHN FLEMING AND REP. TOM MCCLINTOCK HOLD A JOINT HEARING ON THE U.S. FISH AND WILDLIFE SERVICE AND THE NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION SPENDING PRIORITIES,
Preparing for the rising water,
Young Floridians are riding the wave of ocean restoration | Commentary,
Brooklyn Artist Addresses the Disappearance of Coral Reefs,
$2 million awarded to funding lobster research in Maine,
Senate Energy & Natural Resources Committee Issues Testimony From American Samoa Gov. Mauga,
Community Outdoor Outreach Program Provides Opportunity to Get Outside,
Splash out,
"Strong fishing highlights year in review, picks and pans",
Climate claims; Global warming singled out long before latest IPCC report,
Environmental Defense Fund Issues Report Entitled 'New and Emerging Technologies for Sustainable Fisheries: A Comprehensive Landscape Analysis',
Citizens Campaign for the Environment Issues Public Comment on Bureau of Ocean Energy Management Notice,
LOCAL FORECLOSURE RATES DECREASE,
Ocean Conservancy Issues Statement on $700 Million Cut to NOAA Budget Proposed by House,
Senate Indian Affairs Committee Issues Testimony From National Congress of American Indians,
Measures needed to preserve Nha Trang Bay corals,
REP. KEN CALVERT HOLDS A HEARING ON THE ENVIRONMENTAL PROTECTION AGENCY BUDGET REQUEST FOR F.Y. 2016,
New oceanography major now open to undergraduates,
"HOUSE APPROPRIATIONS COMMITTEE, INTERIOR, ENVIRONMENT, AND RELATED AGENCIES SUBCOMMITTEE HEARING ON THE DEPARTMENT OF THE INTERIOR, F.Y. 2019",
â€˜Garbageâ€™ models and black boxes? The science of climate disaster planning,
United States: U.S.-China Strategic & Economic Dialogue Outcomes of the Strategic Track,
SEN. BARBARA BOXER AND SEN. SHELDON WHITEHOUSE HOLD A HEARING ON OIL DISPERSANT USAGE IN THE GULF,
Summer Of 2010 Was Hottest Ever In Tri-Cities - So Far,
Climate change is a health care emergency,
Jersey Shore residents want more time to review wind project,
Young Floridians are riding the wave of ocean restoration guest columnist,
ACP Issues Public Comment to Interior Dept.,
"Sens. Feinstein, Padilla, Rep. Carbajal Call for Chumash Heritage National Marine Sanctuary Designation",
"Hawaii reefs showing strain of overuse, lack of protection",
At the edge of a warming world,
Shining Stars,
"Auburn University Research Team Seeks To Improve Climate Information, Understanding For Marine Sanctuary Management Planning",
'Blue Economy' takes next steps,
UF Institute of Food and Agricultural Sciences extensions work to mitigate climate change,
Sen. Murkowski Champions Alaska Priorities in Year-End Budget Bills,
18 Teams Vie for $2 Million Wendy Schmidt Ocean Health XPRIZE,
"SEN. BARBARA MIKULSKI HOLDS A MARKUP OF COMMERCE, JUSTICE AND SCIENCE, AND TRANSPORTATION, HOUSING AND URBAN DEVELOPMENT APPROPRIATIONS BILLS",
"INTERVIEW: 'Bright spots' can help islands navigate towards sustainable future, says UN biodiversity chief",
Written Testimony of Dr. Samuel Pooley Pacific Islands Fisheries Science Center Director on Magnuson-Stevens Act Reauthorization,
Press Release: Willis Towers Watson launches the Global Ecosystem Resilience Facility,
"Stanford University, Monterey Bay Aquarium And MBARI Launch New Center To Tackle Global Threats To The Oceans",
United States: U.S.-China Strategic & Economic Dialogue Outcomes of the Strategic Track,
â€˜Six times the size of Yosemiteâ€™: the new marine sanctuary for the super-rich LA coast,
Antigua Faces Climate Risks with Ambitious Renewables Target,
Jersey Shore residents demand more time to review offshore wind project,
"Congress Reaches End-of-Year Compromise on Spending, Taxes",
Oregon State University to Lead Building of Second Ship for National Research Fleet,
Caribbean Community Climate Change Ministers Demand Climate Justice in Declaration Ahead of COP26,
At the edge of a warming world,
Walker orders mariculture task force,
EPA Seeks Comments on Carbon Pollution Emission Guidelines for Existing Stationary Sources,
Scientists struggle to save seagrass from pollution,
REP. LAMAR SMITH HOLDS A HEARING ON THE ADMINISTRATION'S CLIMATE PLAN,
"Without Safeguarding Oceans, Achieving the 2030 Sustainable Development Agenda will Be Impossible",
Study Suggests Estuaries May Experience Accelerated Impacts of Human-caused CO2,
Willis Towers Watson Launches the Global Ecosystem Resilience Facility,
Lecture series focuses on ocean concerns,
"India, France to enhance cooperation on marine science, technology",
REP. ALAN B. MOLLOHAN HOLDS A HEARING ON THE COMMERCE DEPARTMENT,
Residents seek more time to review offshore wind project,
"Rep. Carbajal, Sens. Feinstein, Padilla Call for Chumash Heritage National Marine Sanctuary Designation",
EVENTS,
"It was marvelous night for coral sex: Barry White, climate change and the quest for the Lionel Messi of the reef",
"PBS NewsHour For July 19, 2012",
Coral Reefs to Dissolve in an Acid Ocean by the End of the Century,
Project aims to kick-start Waikiki coral reefs,
OPINION: Welch takes a look back at the past year of fishy news,
Alaska may profit from popularity of home-meal kits,
House Homeland Security Committee Issues Testimony From Homeland Security Secretary Mayorkas (Part 1 of 2),
ESA Selects 2018 Katherine S. McCarter Graduate Student Policy Award Recipients,
REP. HOWARD L. BERMAN HOLDS A MARKUP OF H.R. 152 AND A HEARING ON CLIMATE CHANGE AND THE ARCTIC,
Young Floridians are riding the wave of ocean restoration Viewpoint,
Letters to the Editor,
University of Pennsylvania: Declines in Shellfish Species on Rocky Seashores Match Climate-Driven Changes,
Senate panel considers Robinson nomination to NOAA,
Maryland Commission on Climate Change Issues Report Entitled 'Recommendations for Reducing Greenhouse Gas Emissions and Preparing for and Adapting to the Impacts of Climate Change' (Part 1 of 3),
James Delingpole: Time to put my money where my mouth is,
SEN. MARIA CANTWELL HOLDS A HEARING ON NOAA OVERSIGHT,
Snapshot of Alaska seafood industry in '11,
The new climate bill will,
Senate Homeland Security & Governmental Affairs Committee Issues Testimony From Homeland Security Secretary Mayorkas (Part 1 of 2),
"HOUSE APPROPRIATIONS COMMITTEE, INTERIOR, ENVIRONMENT, AND RELATED AGENCIES SUBCOMMITTEE HEARING ON THE DEPARTMENT OF THE INTERIOR, F.Y. 2019",
UF Institute of Food and Agricultural Sciences extensions work to mitigate climate change,
Should scientists march?,
The aspiring â€˜coral factoryâ€™ restoring reefs wrecked by climate change,
Scripps joins climate alliance | Institute created for 6 university partners,
ENVIRONMENT: Climate Change Threatens Livelihoods of Africa's Fishermen,
REP. EDWARD WHITFIELD AND REP. JOHN SHIMKUS HOLD A JOINT HEARING ON ENVIRONMENTAL PROTECTION AGENCY BUDGET,
"White House Environmental Justice Advisory Council Issues Report Entitled 'Justice40, Climate and Economic Justice Screening Tool & Executive Order 12898 Revisions' (Part 6 of 7)",
The World Surf League Leads the Way for Global Professional Sports by Becoming Carbon Neutral and Eliminating Single-Serve Plastics,
Project aims to kick-start Waikiki coral reefs,
"THE The plentiful catch that brought wealth to fishing families is at risk, as climate change warms the Gulf of Maine. A way of life is on the line, but lobstermen can't, or won't, imagine another.",
Jersey Shore residents look for more time to review plan,
"Sen. Padilla, Colleagues Call for Chumash Heritage National Marine Sanctuary Designation",
Marine Biology Issues Research Articles in October 2016 Edition,
Something is killing gray whales. Is it a sign of oceans in peril?,
Hawai'i's reefs showing the strain,
$2 Million Available in Cooperative Agreements for Supporting Education of K-12 Students,
REP. BRIAN BAIRD HOLDS A HEARING ON OIL SPILL CLEANUP TECHNOLOGY,
NSF Awards Contract to Carry OOI Into the Next Decade and Beyond,
The lobster trap,
REP. LAMAR SMITH HOLDS A HEARING ON THE ADMINISTRATION'S CLIMATE PLAN,
"HOUSE APPROPRIATIONS COMMITTEE, INTERIOR, ENVIRONMENT, AND RELATED AGENCIES SUBCOMMITTEE HEARING ON AMERICAN INDIAN/ALASKA NATIVE PUBLIC WITNESSES, PART ONE",
How investors are coming up with the green to save the ocean blue,
House Select Committee on Climate Crisis Issues Testimony From Quinault Indian Nation VP Sharp,
"In the Keys, looking forward",
National Marine Manufacturers Association Outlines Advocacy Priorities in a Letter to President-Elect Biden,
Acidifying Oceans Could Spell Trouble for Squid,
Meet the world's largest plant: a single seagrass clone stretching 180 km in Western Australia's Shark Bay,
Sops in the Works for Methanol-run Ships [Economy],
"HOUSE APPROPRIATIONS COMMITTEE, INTERIOR, ENVIRONMENT, AND RELATED AGENCIES SUBCOMMITTEE HEARING ON AMERICAN INDIAN/ALASKA NATIVE PUBLIC WITNESSES, PART ONE",
IIT Inks Pact With Centre to Set up Ocean Observatory,
Glassell Family Foundation Donates $5 Million to UM,
"Kerry, Leonardo Dicaprio On Second Day of Our Ocean Conference [document]",
REP. HAL ROGERS HOLDS A MARKUP ON THE F.Y. 2016 ENERGY AND WATER APPROPRIATIONS BILL; THE F.Y. 2016 MILITARY CONSTRUCTION AND VETERANS AFFAIRS APPROPRIATIONS BILL; AND A REPORT ON THE SUBALLOCATION OF BUDGET ALLOCATIONS FOR F.Y. 2016,
"SECRETARY OF STATE JOHN KERRY DELIVERS OPENING REMARKS ON THE SECOND DAY OF THE ""OUR OCEAN"" CONFERENCE",
SEN. BARBARA BOXER HOLDS A HEARING ON CLEAN ENERGY JOBS AND AMERICAN POWER ACT,
REP. KEN CALVERT HOLDS A HEARING ON THE F.Y. 2017 BUDGET FOR THE DEPARTMENT OF THE INTERIOR,
Here's where the Maine House of Representatives candidates stand on key issues,
Second Day of Our Ocean Conference,
What will President Trump mean for science?,
Harnessing Local Pride for Global Conservation,
"From Maine's warming waters, a new cash crop",
SEN. JAMES M. INHOFE HOLDS A HEARING ON THE PRESIDENT'S INTERNATIONAL CLIMATE AGENDA,
aine paleobotanist George Jacobson Jr [Derived headline],
What ever happened to Great British humour?,
United States: USAID Announces New Programs to Protect our Ocean,
USAID Announces New Programs to Protect Our Ocean,
â€˜Impossible to Ignoreâ€™: Why Alaska Is Crafting a Plan to Fight Climate Change,
H APPROPS HEARING ON THE ENVIRONMENTAL PROTECTION AGENCY F.Y. 2018 BUDGET,
Congressional Research Service: 'Approaches for Sustainable Management of U.S. Ocean Waters & Ocean Economy - Considerations for Congress',
Anchorage mayor vows to reduce greenhouse gas emissions after Trumpâ€™s Paris pullout,
United States: Second Day of Our Ocean Conference,
Reefs are in trouble. Can scientists nurture more resilient coral?,
The problem with our paua,
"Nature Conservancy: World's Largest Dynamic Kelp Map Launched, Uncovering Unprecedented Declines in Key Areas of California",
TAKING THE HELM AT MARINE LAB: PENNGROVE MAN HOPES TO EXPAND BODEGA SITE'S RESEARCH DESPITE BUDGET WOES,
aine paleobotanist George Jacobson Jr [Derived headline],
THE LOBSTER TRAP,
"Portland Press Herald, Maine, Green Plate Special column",
SEN. JOHN D. ROCKEFELLER IV HOLDS A HEARING ON THE NOMINATION OF GARY LOCKE TO BE COMMERCE SECRETARY,
5TH FRAMEWORK RESEARCH PROGRAMME: COMMISSION TAKES WRAPS OFF SPECIFIC R&D PROGRAMMES,
Baron Waqa named as new Nauru president,
Statement from Dr. Kathryn Sullivan on NOAA's Fiscal Year 2016 Budget Request,
House Ways & Means Subcommittee Issues Testimony From National Congress of American Indians,
SEN. LISA MURKOWSKI HOLDS A HEARING ON THE NOMINATION OF RICK PERRY TO BE SECRETARY OF ENERGY,
REP. EDWARD J. MARKEY HOLDS A HEARING ON THE AMERICAN CLEAN ENERGY SECURITY ACT OF 2009,
EPA Issues Report Entitled 'FY 2022-2026 EPA Strategic Plan' (Part 2),
AUDITIONS,
World: Promoting Climate Change Action in Latin America and the Caribbean,
House Appropriations Subcommittee Issues Testimony From Metlakatla Indian Community Councilmember Boxley,
REP. EDWARD WHITFIELD HOLDS A HEARING ON REGULATORY BARRIERS TO EXPORT COAL AND NATURAL GAS,
"HOUSE APPROPRIATIONS COMMITTEE, INTERIOR, ENVIRONMENT, AND RELATED AGENCIES SUBCOMMITTEE HEARING ON ENVIRONMENTAL PROTECTION AGENCY, F.Y. 2019",
Sen. Murkowski Issues Remarks to Alaska State Legislature,
"Water, water, no longer everywhere",
U.S. REPRESENTATIVE EDWARD WHITFIELD (R-KY) HOLDS A HEARING ON CLIMATE CHANGE ASSESSMENTS,
Rutgers Findings May Predict the Future of Coral Reefs in a Changing World,
N.Y. State Climate Action Council Issues Report Entitled 'Scoping Plan',
REP. EDWARD WHITFIELD HOLDS A HEARING ON CLIMATE CHANGE POLICIES AND ACTIVITIES,
OSU Names Lubchenco Adviser for Marine Sciences,
"Deep-Red Alaska, Feeling Thaw, Devises Climate Change Plan",
NOAA Fisheries Celebrates 150th Anniversary,
University of Southampton: EUR 3.5 Million to Predict the Future for Coral Reefs,
University of California: Teaching Tools Show Climate Change Is Just One Aspect of a Changing World,
"HOUSE APPROPRIATIONS COMMITTEE, INTERIOR, ENVIRONMENT, AND RELATED AGENCIES SUBCOMMITTEE HEARING ON ENVIRONMENTAL PROTECTION AGENCY, F.Y. 2019",
Alaskans live on frontier of climate change,
SEN. LISA MURKOWSKI HOLDS A HEARING ON THE NOMINATION OF RICK PERRY TO BE SECRETARY OF ENERGY,
"BOOKS, WRITING, TALKS",
Global Change Biology Issues 37 Research Articles in September 2017 Edition,
How investors are providing the green to save the ocean blue,
Mark Zuckerberg donates $50M to University of Hawaii to study impact of climate change on ocean,
DANCE,
Al Jazeera English - Al Jazeera Media Network: The battle over space emissions in Cornwall,
Should Seychelles Keep It in the Ground? Finance Minister Responds to Oil Exploration Concerns,
California A.G. Becerra Files Motion to Intervene in Lawsuit to Defend America's Clean Car Standards,
"Mainers have a strong voice - tell Collins why we need science funding Amid a budget battle, an oceanographer seeks help advocating for NOAA, the National Science Foundation and the U.S. Geological Survey.",
Time to raise ambitions for a greener world,
"From Maine's warming waters, kelp emerges as a potentially lucrative cash crop",
"Hemingway look-alike, shrinking Great Salt Lake, Polish war hero : News from around our 50 states",
REP. MATT SALMON HOLDS A HEARING ON U.S. POLICY IN THE PACIFIC,
REP. ENI F.H. FALEOMAVAEGA HOLDS A HEARING ON FOREIGN CLIMATE CHANGE FINANCE ASSISTANCE,
OSU Names Marine Science Leader from Southern California to Head College,
H APPROPS HEARING ON THE ENVIRONMENTAL PROTECTION AGENCY F.Y. 2018 BUDGET,
"SEN. THOMAS R. CARPER HOLDS A HEARING ON EXTREME WEATHER EVENTS, PANEL 1",
"REP. SANDER M. LEVIN HOLDS A HEARING ON THE GREEN JOBS ENERGY TAX INCENTIVE, PANEL 2",
Experts: Schools not teaching climate change correctly,
